"App Name","Location","Source"
"GoPro VR Player 3.0",,"Registry"
"gps_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"GRAPH","D:\New folder\Office16","Deep Scan (D:)"
"graph_cut_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"GROOVE","D:\New folder\Office16","Deep Scan (D:)"
"gsd","D:\Misc\Glary Utilities","Deep Scan (D:)"
"GUAssistComSvc","D:\Misc\Glary Utilities\x64","Deep Scan (D:)"
"GUPMService","D:\Misc\Glary Utilities","Deep Scan (D:)"
"HandBrake","D:\Misc\HandBrake","Deep Scan (D:)"
"HandBrake 1.6.1",,"Registry"
"HandBrake.Worker","D:\Misc\HandBrake","Deep Scan (D:)"
"HandBrake-1.6.1-x86_64-Win_GUI","D:\Downloads","Deep Scan (D:)"
"Herramientas de correcci?n de Microsoft Office 2016: espa?ol","D:\New folder\","Registry"
"hf","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"homography_matrix_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"homography_matrix_utils_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"hprof-conv","D:\Misc\ADB\platform-tools","Deep Scan (D:)"
"httpx","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"Hugin","D:\Misc\Hugin\","Registry"
"humanfriendly","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"i_view64","D:\Misc\IrfanView","Deep Scan (D:)"
"icecap_collection_neutral","","Registry"
"icecap_collection_x64","","Registry"
"icecap_collectionresources","","Registry"
"icecap_collectionresourcesx64","","Registry"
"iCloud Outlook","C:\ProgramData\Apple Inc\iCloud\Outlook\","Registry"
"ICONPIN64","D:\Misc\IOT\IconPin","Deep Scan (D:)"
"IEContentService","D:\New folder\Office16","Deep Scan (D:)"
"iehelper","D:\Misc\Glary Utilities","Deep Scan (D:)"
"image_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"Initialize","D:\Misc\Glary Utilities","Deep Scan (D:)"
"InitUpgrade","D:\Misc\IOT","Deep Scan (D:)"
"Integrator","D:\Misc\Glary Utilities","Deep Scan (D:)"
"Integrator_Portable","D:\Misc\Glary Utilities","Deep Scan (D:)"
"Intel Driver && Support Assistant","C:\Program Files (x86)\Intel\Driver and Support Assistant\","Registry"
"Intel(R) Chipset Device Software",,"Registry"
"Intel(R) Management Engine Components","C:\Program Files (x86)\Intel\Intel(R) Management Engine Components","Registry"
"Intel(R) Management Engine Driver","","Registry"
"Intel(R) PRO/Wireless Driver","C:\Program Files\Intel","Registry"
"Intel(R) Rapid Storage Technology","C:\Program Files\Intel\Intel(R) Rapid Storage Technology","Registry"
"Intel(R) Trusted Connect Service Client x64","","Registry"
"Intel(R) Trusted Connect Service Client x86","","Registry"
"Intel(R) Trusted Connect Services Client",,"Registry"
"Intel(R) Wireless Bluetooth(R)","","Registry"
"Intel? Driver & Support Assistant",,"Registry"
"Intel? Optane? Pinning Explorer Extensions","","Registry"
"Intel? PROSet/Wireless Software",,"Registry"
"Intel? PROSet/Wireless WiFi Software","C:\Program Files\Intel","Registry"
"IntelliTraceProfilerProxy","","Registry"
"inverted_file_entry_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"IOTHelpTools","D:\Misc\IOT","Deep Scan (D:)"
"iot-installer_v4","D:\Downloads","Deep Scan (D:)"
"iot-installer_v4(1)","D:\Downloads","Deep Scan (D:)"
"IOTransfer","D:\Misc\IOT","Deep Scan (D:)"
"IOTransfer 4","D:\Misc\IOT\","Registry"
"iotransfer_setup","D:\Misc\IOT","Deep Scan (D:)"
"IOTransferInfoHelpV2","D:\Downloads","Deep Scan (D:)"
"IOTSplash","D:\Misc\IOT","Deep Scan (D:)"
"IOTUpdater","D:\Misc\IOT","Deep Scan (D:)"
"IrfanView 4.67 (64-bit)","D:\Misc\IrfanView\","Registry"
"isympy","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"iv_uninstall","D:\Misc\IrfanView","Deep Scan (D:)"
"iview467_x64_setup","D:\Downloads","Deep Scan (D:)"
"JiveX DICOM Viewer 5.4","C:\Program Files (x86)\jivexdv\","Registry"
"joinExe","D:\Misc\Glary Utilities","Deep Scan (D:)"
"jsonschema","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"Jump Desktop","D:\Misc\Jump Desktop\","Registry"
"Jump Desktop Connect","C:\Program Files (x86)\Phase Five Systems\Jump Desktop Connect\7.1.52.0\","Registry"
"JumpClient","D:\Misc\Jump Desktop","Deep Scan (D:)"
"JumpDesktopUpdater","D:\Misc\Jump Desktop","Deep Scan (D:)"
"K-Lite Codec Pack 18.7.5 Basic","C:\Program Files (x86)\K-Lite Codec Pack\","Registry"
"Kodi","D:\KODI","Registry"
"least_absolute_deviations_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"line_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"LocalLang","D:\Misc\IOT","Deep Scan (D:)"
"logioptionsplus_installer","D:\Downloads","Deep Scan (D:)"
"LogTransport2","D:\Misc\Adobe CS6\Adobe Bridge CS6","Deep Scan (D:)"
"loransac_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"luxcoreui","D:\Misc\Lux\luxcorerender-v2.1-win64-opencl","Deep Scan (D:)"
"lync","D:\New folder\Office16","Deep Scan (D:)"
"lync99","D:\New folder\Office16","Deep Scan (D:)"
"lynchtmlconv","D:\New folder\Office16","Deep Scan (D:)"
"make_f2fs","D:\Misc\ADB\platform-tools","Deep Scan (D:)"
"makehuman","D:\Misc\makehuman-1.1.1-win32","Deep Scan (D:)"
"makehuman-community","D:\Misc\Makehuman-1.3.0","Registry"
"mako-render","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"Malwarebytes version 5.5.1.240","C:\Program Files\Malwarebytes\Anti-Malware","Registry"
"markdown_py","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"markdown-it","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"mat_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"math_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"matrix_test","D:\Misc\COLMAP-3.5-windows\bin","Deep Scan (D:)"
"mcp","D:\Misc\Python311-was OpenWebUI\Scripts","Deep Scan (D:)"
"MediaInfo","D:\Misc\MediaInfo","Deep Scan (D:)"
"MediaInfo 25.09",,"Registry"
"MediaInfoReader","D:\Misc\Acrok Video Converter Ultimate\Bin","Deep Scan (D:)"
"MediaProcess","D:\Misc\Acrok Video Converter Ultimate\Bin","Deep Scan (D:)"
"memdefrag","D:\Misc\Glary Utilities","Deep Scan (D:)"
"MemfilesService","D:\Misc\Glary Utilities","Deep Scan (D:)"
"MergeModule_x64","","Registry"
"MergeModule_x86","","Registry"
"meshlab","D:\Misc\MeshLab","Deep Scan (D:)"
"MeshLab_64b 2016",,"Registry"
"MeshLab2016.12","D:\Downloads","Deep Scan (D:)"
"meshlabserver","D:\Misc\MeshLab","Deep Scan (D:)"
"Meshmixer","D:\Misc\Meshmixer","Registry"
"Meshroom","D:\Misc\Meshroom-2019.1.0-win64\Meshroom-2019.1.0","Deep Scan (D:)"
"meshroom_compute","D:\Misc\Meshroom-2019.1.0-win64\Meshroom-2019.1.0","Deep Scan (D:)"
"meshroom_photogrammetry","D:\Misc\Meshroom-2019.1.0-win64\Meshroom-2019.1.0","Deep Scan (D:)"
"Microsoft .NET AppHost Pack - 5.0.4 (x64)","","Registry"
"Microsoft .NET AppHost Pack - 5.0.4 (x64_arm)","","Registry"
"Microsoft .NET AppHost Pack - 5.0.4 (x64_arm64)","","Registry"
"Microsoft .NET AppHost Pack - 5.0.4 (x64_x86)","","Registry"
"Microsoft .NET Core 2.1 Templates 5.0.201 (x64)","","Registry"
"Microsoft .NET Core 3.1 Templates 5.0.201 (x64)","","Registry"
"Microsoft .NET Core 5.0 Templates 5.0.201 (x64)","","Registry"
"Microsoft .NET Core AppHost Pack - 3.1.13 (x64)","","Registry"
"Microsoft .NET Core AppHost Pack - 3.1.13 (x64_arm)","","Registry"
"Microsoft .NET Core AppHost Pack - 3.1.13 (x64_arm64)","","Registry"
"Microsoft .NET Core AppHost Pack - 3.1.13 (x64_x86)","","Registry"
